symbol,time,open,high,low,close,tick_volume,spread,real_volume
EURUSD,2025.09.09 15:00:00,1.17415,1.17445,1.17271,1.17368,3956,11,0
EURUSD,2025.09.09 16:00:00,1.17368,1.17484,1.17335,1.17411,5037,11,0
EURUSD,2025.09.09 17:00:00,1.17411,1.17619,1.17222,1.17302,10565,11,0
EURUSD,2025.09.09 18:00:00,1.17304,1.17311,1.17151,1.17215,5212,11,0
EURUSD,2025.09.09 19:00:00,1.17217,1.17292,1.17181,1.17183,2650,11,0
EURUSD,2025.09.09 20:00:00,1.17185,1.17231,1.17079,1.17088,2878,11,0
EURUSD,2025.09.09 21:00:00,1.17087,1.17140,1.17036,1.17058,2422,11,0
EURUSD,2025.09.09 22:00:00,1.17058,1.17085,1.17032,1.17061,1656,11,0
EURUSD,2025.09.09 23:00:00,1.17061,1.17109,1.17039,1.17070,1060,11,0
EURUSD,2025.09.10 00:00:00,1.17037,1.17105,1.17027,1.17102,1054,35,0
EURUSD,2025.09.10 01:00:00,1.17103,1.17130,1.17079,1.17112,679,12,0
EURUSD,2025.09.10 02:00:00,1.17108,1.17114,1.16969,1.17018,1244,11,0
EURUSD,2025.09.10 03:00:00,1.17018,1.17019,1.16955,1.16964,1624,11,0
EURUSD,2025.09.10 04:00:00,1.16964,1.17021,1.16888,1.16989,2702,11,0
EURUSD,2025.09.10 05:00:00,1.16990,1.17077,1.16988,1.17066,1923,11,0
EURUSD,2025.09.10 06:00:00,1.17067,1.17097,1.17062,1.17076,1106,11,0
EURUSD,2025.09.10 07:00:00,1.17078,1.17150,1.17070,1.17145,897,11,0
EURUSD,2025.09.10 08:00:00,1.17143,1.17155,1.17045,1.17079,1652,11,0
EURUSD,2025.09.10 09:00:00,1.17079,1.17179,1.16911,1.16971,3274,11,0
EURUSD,2025.09.10 10:00:00,1.16974,1.17073,1.16819,1.17022,4461,11,0
EURUSD,2025.09.10 11:00:00,1.17022,1.17032,1.16905,1.16993,3296,11,0
EURUSD,2025.09.10 12:00:00,1.16993,1.17165,1.16979,1.17128,2816,11,0
EURUSD,2025.09.10 13:00:00,1.17128,1.17141,1.16958,1.16998,2782,11,0
EURUSD,2025.09.10 14:00:00,1.16998,1.17063,1.16947,1.17041,2930,11,0
EURUSD,2025.09.10 15:00:00,1.17041,1.17266,1.16888,1.16998,8692,11,0
EURUSD,2025.09.10 16:00:00,1.16998,1.17241,1.16954,1.17195,7033,11,0
EURUSD,2025.09.10 17:00:00,1.17196,1.17297,1.17145,1.17273,5570,11,0
EURUSD,2025.09.10 18:00:00,1.17271,1.17296,1.17127,1.17141,3362,11,0
EURUSD,2025.09.10 19:00:00,1.17141,1.17156,1.17021,1.17051,2352,11,0
EURUSD,2025.09.10 20:00:00,1.17051,1.17108,1.17011,1.17054,2061,11,0
EURUSD,2025.09.10 21:00:00,1.17053,1.17116,1.17020,1.17041,1732,11,0
EURUSD,2025.09.10 22:00:00,1.17041,1.17041,1.16930,1.16998,1752,11,0
EURUSD,2025.09.10 23:00:00,1.16996,1.17008,1.16923,1.16931,1103,11,0
EURUSD,2025.09.11 00:00:00,1.16921,1.16988,1.16921,1.16973,817,35,0
EURUSD,2025.09.11 01:00:00,1.16973,1.17026,1.16971,1.17025,684,12,0
EURUSD,2025.09.11 02:00:00,1.17025,1.17064,1.17005,1.17020,520,11,0
EURUSD,2025.09.11 03:00:00,1.17020,1.17020,1.16931,1.16934,1529,11,0
EURUSD,2025.09.11 04:00:00,1.16934,1.17022,1.16924,1.16967,1553,11,0
EURUSD,2025.09.11 05:00:00,1.16967,1.16982,1.16931,1.16960,1085,11,0
EURUSD,2025.09.11 06:00:00,1.16960,1.16998,1.16942,1.16953,1142,11,0
EURUSD,2025.09.11 07:00:00,1.16952,1.16989,1.16934,1.16988,857,11,0
EURUSD,2025.09.11 08:00:00,1.16988,1.16989,1.16889,1.16894,1231,11,0
EURUSD,2025.09.11 09:00:00,1.16894,1.16961,1.16832,1.16900,3918,11,0
EURUSD,2025.09.11 10:00:00,1.16900,1.16957,1.16861,1.16920,4518,11,0
EURUSD,2025.09.11 11:00:00,1.16920,1.16947,1.16880,1.16914,3723,11,0
EURUSD,2025.09.11 12:00:00,1.16914,1.16925,1.16768,1.16852,3617,11,0
EURUSD,2025.09.11 13:00:00,1.16852,1.16877,1.16794,1.16825,3268,11,0
EURUSD,2025.09.11 14:00:00,1.16824,1.16906,1.16775,1.16831,4022,11,0
EURUSD,2025.09.11 15:00:00,1.16831,1.17203,1.16568,1.17145,12610,11,0
EURUSD,2025.09.11 16:00:00,1.17149,1.17404,1.17134,1.17387,11645,11,0
EURUSD,2025.09.11 17:00:00,1.17385,1.17437,1.17250,1.17272,7259,11,0
EURUSD,2025.09.11 18:00:00,1.17274,1.17454,1.17255,1.17308,4992,11,0
